ProdutoID,DataRef,QtdEstoque
PROD000001,2023-01-31,498
PROD000002,2023-01-31,668
PROD000003,2023-01-31,36
PROD000004,2023-01-31,93
PROD000005,2023-01-31,303
PROD000006,2023-01-31,619
PROD000007,2023-01-31,602
PROD000008,2023-01-31,440
PROD000009,2023-01-31,62
PROD000010,2023-01-31,70
PROD000011,2023-01-31,707
PROD000012,2023-01-31,153
PROD000013,2023-01-31,353
PROD000014,2023-01-31,461
PROD000015,2023-01-31,115
PROD000016,2023-01-31,355
PROD000017,2023-01-31,790
PROD000018,2023-01-31,328
PROD000019,2023-01-31,634
PROD000020,2023-01-31,399
PROD000021,2023-01-31,776
PROD000022,2023-01-31,229
PROD000023,2023-01-31,672
PROD000024,2023-01-31,361
PROD000025,2023-01-31,681
PROD000026,2023-01-31,240
PROD000027,2023-01-31,231
PROD000028,2023-01-31,459
PROD000029,2023-01-31,205
PROD000030,2023-01-31,463
PROD000031,2023-01-31,741
PROD000032,2023-01-31,656
PROD000033,2023-01-31,735
PROD000034,2023-01-31,466
PROD000035,2023-01-31,369
PROD000036,2023-01-31,348
PROD000037,2023-01-31,131
PROD000038,2023-01-31,776
PROD000039,2023-01-31,790
PROD000040,2023-01-31,205
PROD000041,2023-01-31,805
PROD000042,2023-01-31,642
PROD000043,2023-01-31,839
PROD000044,2023-01-31,778
PROD000045,2023-01-31,363
PROD000046,2023-01-31,199
PROD000047,2023-01-31,272
PROD000048,2023-01-31,250
PROD000049,2023-01-31,399
PROD000050,2023-01-31,264
PROD000051,2023-01-31,56
PROD000052,2023-01-31,280
PROD000053,2023-01-31,786
PROD000054,2023-01-31,69
PROD000055,2023-01-31,629
PROD000056,2023-01-31,252
PROD000057,2023-01-31,386
PROD000058,2023-01-31,393
PROD000059,2023-01-31,723
PROD000060,2023-01-31,461
PROD000061,2023-01-31,675
PROD000062,2023-01-31,678
PROD000063,2023-01-31,355
PROD000064,2023-01-31,562
PROD000065,2023-01-31,866
PROD000066,2023-01-31,106
PROD000067,2023-01-31,640
PROD000068,2023-01-31,623
PROD000069,2023-01-31,199
PROD000070,2023-01-31,735
PROD000071,2023-01-31,773
PROD000072,2023-01-31,487
PROD000073,2023-01-31,828
PROD000074,2023-01-31,578
PROD000075,2023-01-31,346
PROD000076,2023-01-31,758
PROD000077,2023-01-31,782
PROD000078,2023-01-31,430
PROD000079,2023-01-31,602
PROD000080,2023-01-31,792
PROD000081,2023-01-31,765
PROD000082,2023-01-31,725
PROD000083,2023-01-31,260
PROD000084,2023-01-31,676
PROD000085,2023-01-31,354
PROD000086,2023-01-31,705
PROD000087,2023-01-31,201
PROD000088,2023-01-31,685
PROD000089,2023-01-31,22
PROD000090,2023-01-31,139
PROD000091,2023-01-31,615
PROD000092,2023-01-31,703
PROD000093,2023-01-31,506
PROD000094,2023-01-31,330
PROD000095,2023-01-31,560
PROD000096,2023-01-31,576
PROD000097,2023-01-31,724
PROD000098,2023-01-31,789
PROD000099,2023-01-31,136
PROD000100,2023-01-31,522
PROD000101,2023-01-31,379
PROD000102,2023-01-31,594
PROD000103,2023-01-31,222
PROD000104,2023-01-31,793
PROD000105,2023-01-31,751
PROD000106,2023-01-31,499
PROD000107,2023-01-31,273
PROD000108,2023-01-31,65
PROD000109,2023-01-31,779
PROD000110,2023-01-31,85
PROD000111,2023-01-31,595
PROD000112,2023-01-31,66
PROD000113,2023-01-31,254
PROD000114,2023-01-31,435
PROD000115,2023-01-31,30
PROD000116,2023-01-31,685
PROD000117,2023-01-31,955
PROD000118,2023-01-31,568
PROD000119,2023-01-31,394
PROD000120,2023-01-31,521
PROD000121,2023-01-31,364
PROD000122,2023-01-31,164
PROD000123,2023-01-31,230
PROD000124,2023-01-31,710
PROD000125,2023-01-31,132
PROD000126,2023-01-31,552
PROD000127,2023-01-31,394
PROD000128,2023-01-31,459
PROD000129,2023-01-31,289
PROD000130,2023-01-31,608
PROD000131,2023-01-31,189
PROD000132,2023-01-31,253
PROD000133,2023-01-31,634
PROD000134,2023-01-31,213
PROD000135,2023-01-31,814
PROD000136,2023-01-31,770
PROD000137,2023-01-31,728
PROD000138,2023-01-31,412
PROD000139,2023-01-31,699
PROD000140,2023-01-31,143
PROD000141,2023-01-31,658
PROD000142,2023-01-31,531
PROD000143,2023-01-31,499
PROD000144,2023-01-31,466
PROD000145,2023-01-31,601
PROD000146,2023-01-31,259
PROD000147,2023-01-31,92
PROD000148,2023-01-31,550
PROD000149,2023-01-31,674
PROD000150,2023-01-31,509
PROD000001,2023-02-28,498
PROD000002,2023-02-28,818
PROD000003,2023-02-28,36
PROD000004,2023-02-28,93
PROD000005,2023-02-28,498
PROD000006,2023-02-28,619
PROD000007,2023-02-28,602
PROD000008,2023-02-28,470
PROD000009,2023-02-28,62
PROD000010,2023-02-28,37
PROD000011,2023-02-28,745
PROD000012,2023-02-28,291
PROD000013,2023-02-28,225
PROD000014,2023-02-28,550
PROD000015,2023-02-28,115
PROD000016,2023-02-28,354
PROD000017,2023-02-28,684
PROD000018,2023-02-28,198
PROD000019,2023-02-28,603
PROD000020,2023-02-28,399
PROD000021,2023-02-28,640
PROD000022,2023-02-28,165
PROD000023,2023-02-28,672
PROD000024,2023-02-28,361
PROD000025,2023-02-28,695
PROD000026,2023-02-28,125
PROD000027,2023-02-28,373
PROD000028,2023-02-28,459
PROD000029,2023-02-28,311
PROD000030,2023-02-28,463
PROD000031,2023-02-28,615
PROD000032,2023-02-28,656
PROD000033,2023-02-28,734
PROD000034,2023-02-28,466
PROD000035,2023-02-28,369
PROD000036,2023-02-28,345
PROD000037,2023-02-28,131
PROD000038,2023-02-28,820
PROD000039,2023-02-28,611
PROD000040,2023-02-28,243
PROD000041,2023-02-28,708
PROD000042,2023-02-28,736
PROD000043,2023-02-28,679
PROD000044,2023-02-28,777
PROD000045,2023-02-28,468
PROD000046,2023-02-28,136
PROD000047,2023-02-28,271
PROD000048,2023-02-28,250
PROD000049,2023-02-28,398
PROD000050,2023-02-28,232
PROD000051,2023-02-28,95
PROD000052,2023-02-28,204
PROD000053,2023-02-28,786
PROD000054,2023-02-28,69
PROD000055,2023-02-28,568
PROD000056,2023-02-28,428
PROD000057,2023-02-28,385
PROD000058,2023-02-28,451
PROD000059,2023-02-28,723
PROD000060,2023-02-28,460
PROD000061,2023-02-28,525
PROD000062,2023-02-28,677
PROD000063,2023-02-28,281
PROD000064,2023-02-28,561
PROD000065,2023-02-28,746
