PedidoID,DataHoraVenda,ClienteID,ProdutoID,Canal,Qtde,PrecoUnitario,DescontoPct,ValorBruto,ValorDesconto,ValorLiquido
PED0001607,2025-03-21 16:52:35,CLI001262,PROD000091,Loja Física,1,667.35,0.079,667.35,52.72,614.63
PED0028503,2025-02-07 01:48:45,CLI000321,PROD000080,Loja Física,1,980.91,0.014,980.91,13.73,967.18
PED0038072,2024-05-24 16:20:59,CLI001269,PROD000126,Ecommerce,2,541.58,0.002,1083.16,2.17,1080.99
PED0034151,2024-01-19 14:15:43,CLI001413,PROD000060,Ecommerce,1,999.61,0.051,999.61,50.98,948.63
PED0022357,2025-07-24 16:31:53,CLI000582,PROD000070,Marketplace,1,146.67,0.127,146.67,18.63,128.04
PED0029932,2024-07-27 10:10:18,CLI000401,PROD000089,Loja Física,1,512.14,0.103,512.14,52.75,459.39
PED0043294,2025-07-24 05:48:18,CLI000842,PROD000084,Marketplace,1,478.06,0.056,478.06,26.77,451.29
PED0004177,2025-01-22 00:14:13,CLI001551,PROD000014,Ecommerce,1,1069.85,0.0,1069.85,0.0,1069.85
PED0020525,2025-05-07 15:38:49,CLI000412,PROD000029,Loja Física,1,135.27,0.106,135.27,14.34,120.93
PED0031877,2025-04-16 19:08:11,CLI000403,PROD000103,Marketplace,1,755.73,0.0,755.73,0.0,755.73
PED0040034,2025-07-27 14:32:10,CLI000739,PROD000054,Ecommerce,1,909.74,0.0,909.74,0.0,909.74
PED0004822,2024-05-10 06:35:51,CLI001823,PROD000067,Marketplace,5,224.14,0.0,1120.7,0.0,1120.7
PED0024398,2024-07-06 08:13:20,CLI000383,PROD000090,Ecommerce,4,1006.78,0.109,4027.12,438.96,3588.16
PED0010913,2023-12-30 15:37:59,CLI000026,PROD000057,Ecommerce,1,740.39,0.069,740.39,51.09,689.3
PED0031419,2025-04-16 19:30:59,CLI001617,PROD000019,Loja Física,1,925.99,0.098,925.99,90.75,835.24
PED0036755,2025-01-21 11:21:19,CLI001552,PROD000056,Marketplace,3,390.09,0.103,1170.27,120.54,1049.73
PED0026871,2025-04-02 16:19:37,CLI000396,PROD000046,Marketplace,4,182.88,0.089,731.52,65.11,666.41
PED0035816,2024-12-27 21:16:41,CLI000605,PROD000012,Ecommerce,4,619.43,0.126,2477.72,312.19,2165.53
PED0019970,2024-12-22 15:37:02,CLI000372,PROD000074,Ecommerce,1,1216.88,0.09,1216.88,109.52,1107.36
PED0010873,2025-02-08 09:59:07,CLI001336,PROD000025,Ecommerce,1,583.37,0.003,583.37,1.75,581.62
PED0003388,2025-06-24 09:33:30,CLI000734,PROD000102,Loja Física,1,205.69,0.088,205.69,18.1,187.59
PED0011361,2023-12-07 09:19:01,CLI000186,PROD000029,Ecommerce,1,172.11,0.0,172.11,0.0,172.11
PED0030570,2025-07-13 15:57:16,CLI000481,PROD000011,Ecommerce,1,133.3,0.0,133.3,0.0,133.3
PED0017227,2024-04-20 22:21:54,CLI000761,PROD000057,Marketplace,1,939.56,0.073,939.56,68.59,870.97
PED0029286,2025-07-28 03:49:05,CLI000701,PROD000056,Marketplace,1,307.46,0.092,307.46,28.29,279.17
PED0026227,2024-03-13 18:34:47,CLI000063,PROD000056,Ecommerce,1,378.51,0.062,378.51,23.47,355.04
PED0031351,2024-04-23 13:11:16,CLI001826,PROD000013,Marketplace,1,1075.02,0.006,1075.02,6.45,1068.57
PED0011387,2024-12-15 03:51:19,CLI000593,PROD000086,Loja Física,3,912.65,0.021,2737.95,57.5,2680.45
PED0020518,2025-01-28 01:13:40,CLI000365,PROD000139,Loja Física,1,756.21,0.042,756.21,31.76,724.45
PED0037669,2025-04-17 14:10:33,CLI000208,PROD000137,Ecommerce,1,1218.47,0.019,1218.47,23.15,1195.32
PED0013137,2025-06-21 17:40:30,CLI000977,PROD000035,Marketplace,2,347.58,0.045,695.16,31.28,663.88
PED0015897,2024-10-28 15:25:21,CLI000776,PROD000114,Marketplace,1,658.1,0.01,658.1,6.58,651.52
PED0030153,2025-07-22 19:27:58,CLI000128,PROD000045,Ecommerce,4,194.79,0.101,779.16,78.7,700.46
PED0021760,2024-03-10 17:05:28,CLI000536,PROD000013,Ecommerce,3,1145.61,0.064,3436.83,219.96,3216.87
PED0008972,2024-07-30 12:30:45,CLI001480,PROD000056,Marketplace,1,392.73,0.025,392.73,9.82,382.91
PED0021140,2025-06-21 23:58:23,CLI001144,PROD000106,Ecommerce,4,1062.4,0.103,4249.6,437.71,3811.89
PED0010739,2024-11-23 09:57:05,CLI001335,PROD000122,Marketplace,1,140.25,0.039,140.25,5.47,134.78
PED0000303,2025-05-19 12:11:02,CLI001902,PROD000027,Ecommerce,2,1290.3,0.063,2580.6,162.58,2418.02
PED0040465,2025-01-11 22:30:37,CLI000030,PROD000023,Ecommerce,2,796.23,0.021,1592.46,33.44,1559.02
PED0024155,2025-01-03 09:47:16,CLI001926,PROD000142,Marketplace,1,1330.58,0.0,1330.58,0.0,1330.58
PED0002003,2023-05-09 08:03:41,CLI001474,PROD000069,Ecommerce,1,180.15,0.129,180.15,23.24,156.91
PED0029662,2024-06-02 16:12:18,CLI000848,PROD000016,Ecommerce,1,397.9,0.049,397.9,19.5,378.4
PED0005359,2024-08-13 17:55:11,CLI000674,PROD000052,Ecommerce,1,221.18,0.1,221.18,22.12,199.06
PED0022969,2025-05-20 17:49:10,CLI000634,PROD000016,Loja Física,1,522.98,0.05,522.98,26.15,496.83
PED0003251,2025-06-22 11:13:45,CLI000086,PROD000085,Ecommerce,1,737.49,0.0,737.49,0.0,737.49
PED0022915,2025-02-08 10:28:36,CLI001368,PROD000099,Marketplace,2,367.75,0.104,735.5,76.49,659.01
PED0000715,2025-03-29 02:15:52,CLI001572,PROD000055,Ecommerce,1,995.1,0.107,995.1,106.48,888.62
PED0017790,2024-09-13 20:09:07,CLI000167,PROD000104,Ecommerce,1,530.35,0.0,530.35,0.0,530.35
PED0028832,2025-05-28 20:44:31,CLI001077,PROD000120,Ecommerce,1,941.52,0.057,941.52,53.67,887.85
PED0021540,2024-01-22 16:03:01,CLI000626,PROD000124,Loja Física,2,720.44,0.051,1440.88,73.48,1367.4
PED0024640,2025-03-13 11:19:20,CLI000518,PROD000139,Marketplace,1,851.05,0.096,851.05,81.7,769.35
PED0024578,2024-11-02 16:23:20,CLI000421,PROD000028,Marketplace,1,981.67,0.01,981.67,9.82,971.85
PED0024961,2025-05-26 17:24:14,CLI000679,PROD000115,Ecommerce,2,288.88,0.089,577.76,51.42,526.34
PED0026926,2025-05-24 01:52:29,CLI000212,PROD000005,Ecommerce,1,687.77,0.019,687.77,13.07,674.7
PED0023455,2025-07-13 04:52:28,CLI000032,PROD000130,Marketplace,1,620.37,0.112,620.37,69.48,550.89
PED0034121,2024-09-30 03:27:05,CLI000581,PROD000148,Ecommerce,3,486.73,0.047,1460.19,68.63,1391.56
PED0017191,2024-10-18 12:32:11,CLI001871,PROD000122,Ecommerce,3,159.46,0.094,478.38,44.97,433.41
PED0012179,2023-06-27 02:07:27,CLI001932,PROD000032,Ecommerce,1,919.01,0.091,919.01,83.63,835.38
